team,enemy,win,home,diff
DAL,MIA,0,0,-8.0
MIL,CHA,0,0,-5.0
ATL,CHI,0,1,-7.0
BKN,BOS,0,0,-11.0
MIA,MIL,0,0,-14.0
BKN,LAL,0,1,-15.0
BKN,NOP,0,0,-15.0
DAL,LAL,0,0,-22.0
GSW,CHA,1,1,47.0
PHI,MIN,1,1,42.0
DAL,GSW,1,0,35.0
GSW,DEN,1,0,31.0
HOU,NOP,1,0,23.0
TOR,MIA,1,0,21.0
BOS,DAL,1,1,21.0
BKN,MIA,1,1,19.0
HOU,MIN,1,1,15.0
MEM,GSW,1,1,15.0
MIL,BKN,1,1,14.0
HOU,BOS,1,0,11.0
CHI,ATL,1,0,7.0
ATL,CHI,1,0,5.0
GSW,SAC,1,0,4.0
HOU,GSW,1,0,1.0
HOU,MEM,0,0,-1.0
ORL,MIN,1,1,42.0
DEN,MIA,1,1,28.0
NYK,NJN,1,0,23.0
ORL,GSW,1,1,20.0
SAS,PHX,1,1,17.0
GSW,PHI,1,1,15.0
NYK,TOR,1,1,13.0
NYK,DET,1,0,9.0
PHX,MIN,1,1,6.0
DEN,DAL,1,1,1.0
ORL,GSW,0,0,-3.0
DET,CHA,1,1,39.0
NYK,WAS,1,1,38.0
ATL,WAS,1,1,31.0
DAL,LAC,1,1,30.0
ATL,ORL,1,0,28.0
ATL,CLE,1,0,29.0
BKN,CHA,1,0,27.0
MIA,CLE,1,0,24.0
DAL,PHX,1,0,23.0
CHI,MIL,1,0,23.0
DET,PHI,1,1,22.0
HOU,NYK,1,0,24.0
GSW,MEM,1,0,23.0
POR,NYK,1,1,22.0
PHX,LAL,1,1,20.0
PHX,LAL,1,1,20.0
ORL,MIL,1,1,16.0
POR,DEN,1,0,17.0
POR,DEN,1,1,16.0
HOU,BKN,1,0,14.0
LAC,SAS,1,0,12.0
HOU,PHI,1,0,11.0
HOU,OKC,1,1,11.0
GSW,NOH,1,0,9.0
CLE,OKC,1,1,10.0
ORL,CHA,1,1,7.0
MIL,HOU,1,0,6.0
LAC,DEN,1,0,6.0
LAC,DEN,1,0,4.0
MIN,PHX,1,0,3.0
CLE,WAS,1,1,5.0
CLE,CHI,1,1,5.0
DET,DEN,0,0,-1.0
ATL,DEN,0,0,-1.0
DAL,UTA,0,0,-2.0
PHX,LAC,0,0,-1.0
MIN,OKC,0,0,-9.0
HOU,ORL,1,1,42.0
GSW,DAL,1,0,31.0
MIL,CHI,1,1,30.0
UTA,LAL,1,1,25.0
PHX,NOP,1,0,18.0
DAL,MIA,1,0,14.0
BOS,MIL,1,0,8.0
POR,DAL,1,1,6.0
TOR,MIL,0,1,-7.0
MIA,MIL,0,0,-14.0
HOU,LAL,1,1,39.0
TOR,ORL,1,0,35.0
HOU,PHX,1,1,31.0
MIA,CLE,1,1,28.0
MIA,PHX,1,1,25.0
MIA,LAC,1,1,22.0
CLE,ORL,1,1,20.0
DEN,DAL,1,0,18.0
HOU,MEM,1,1,15.0
MIA,ORL,1,0,14.0
HOU,PHX,1,0,14.0
NYK,ORL,1,1,12.0
OKC,LAC,1,0,12.0
CLE,IND,1,1,9.0
BOS,NOP,1,1,9.0
IND,NOH,1,1,8.0
HOU,ORL,1,0,8.0
NOH,LAC,1,0,7.0
HOU,SAC,1,0,7.0
HOU,GSW,1,0,6.0
CLE,IND,1,1,5.0
NYK,OKC,1,0,5.0
HOU,OKC,1,1,3.0
SAC,ATL,1,1,1.0
SAC,NYK,1,1,1.0
CHA,LAC,0,0,-3.0
NYK,ATL,0,0,-3.0
NYK,DAL,0,0,-3.0
GSW,NYK,0,0,-4.0
POR,GSW,0,0,-6.0
DEN,SAC,0,1,-7.0
LAL,UTA,0,1,-7.0
DAL,IND,0,0,-9.0
LAC,PHI,0,0,-11.0
DAL,UTA,1,1,50.0
BOS,BKN,1,1,50.0
BOS,MIL,1,0,41.0
NYK,TOR,1,0,44.0
PHI,LAL,1,1,44.0
OKC,POR,1,0,43.0
SAC,MEM,1,1,33.0
PHX,CHA,1,1,31.0
NOP,SAS,1,0,36.0
DAL,SAC,1,0,36.0
BOS,MIA,1,0,33.0
MIL,UTA,1,0,28.0
MIL,CHA,1,0,31.0
DAL,SAS,1,1,26.0
ORL,MEM,1,1,30.0
BKN,ATL,1,1,27.0
LAL,MEM,1,1,27.0
BOS,DET,1,1,25.0
BOS,SAC,1,0,25.0
UTA,MEM,1,1,24.0
SAC,UTA,1,1,21.0
SAS,ORL,1,1,18.0
IND,MIL,1,0,16.0
SAC,WAS,1,0,14.0
BOS,MIA,1,1,13.0
PHX,ATL,1,1,13.0
NOP,SAC,1,0,12.0
LAC,MEM,1,0,9.0
IND,NOP,1,1,7.0
BKN,NYK,1,1,7.0
DAL,OKC,1,1,7.0
MIL,WAS,1,0,6.0
IND,ATL,1,0,5.0
SAC,GSW,1,0,1.0
BOS,UTA,0,0,-1.0
IND,CHA,0,1,-1.0
UTA,GSW,0,1,-3.0
IND,BOS,0,1,-4.0
MIL,MIA,0,0,-6.0
CLE,CHI,0,0,-9.0
PHX,NOP,0,0,-11.0
DAL,POR,0,0,-17.0
UTA,LAL,1,1,48.0
POR,ORL,1,1,37.0
POR,GSW,1,1,32.0
LAC,CHI,1,1,27.0
CLE,TOR,1,1,22.0
ATL,WAS,1,0,21.0
HOU,LAL,1,1,20.0
NOP,MIL,1,1,17.0
GSW,DEN,1,1,15.0
GSW,NOP,1,0,14.0
ATL,BOS,1,1,11.0
POR,WAS,1,0,10.0
GSW,LAC,1,0,7.0
CLE,PHX,1,0,4.0
CLE,DAL,1,0,3.0
HOU,WAS,0,1,-1.0
DEN,NOP,0,1,-5.0
PHX,NOP,0,0,-6.0
LAL,MEM,0,0,-9.0
PHI,CHI,0,0,-10.0
SAC,CLE,1,1,44.0
GSW,LAL,1,1,31.0
DEN,NOP,1,1,30.0
MIA,ORL,1,0,28.0
IND,LAC,1,1,27.0
ATL,UTA,1,0,23.0
HOU,DEN,1,1,19.0
LAL,MEM,1,1,19.0
GSW,PHI,1,0,20.0
GSW,CLE,1,1,18.0
GSW,LAC,1,1,18.0
LAC,HOU,1,1,19.0
ATL,SAC,1,1,17.0
TOR,NYK,1,1,15.0
PHX,DAL,1,1,15.0
BKN,DET,1,1,12.0
ORL,CLE,1,1,11.0
ORL,DAL,1,0,10.0
GSW,LAC,1,1,10.0
GSW,MIN,1,1,10.0
ORL,CHA,1,0,9.0
DAL,OKC,1,1,9.0
BKN,MEM,1,1,9.0
GSW,MIA,1,0,9.0
PHX,ATL,1,1,9.0
POR,TOR,1,0,8.0
NYK,SAC,1,0,8.0
WAS,MIL,1,0,7.0
DAL,UTA,1,1,6.0
SAS,DEN,1,1,6.0
PHX,OKC,1,1,6.0
PHX,MEM,1,1,5.0
HOU,MIN,1,0,4.0
POR,CLE,1,0,3.0
GSW,SAC,1,0,2.0
DAL,NYK,1,0,2.0
GSW,DAL,1,0,2.0
BOS,WAS,1,0,2.0
GSW,DEN,1,1,2.0
BKN,PHI,0,0,-1.0
ORL,OKC,0,0,-1.0
NYK,MIL,0,0,-3.0
PHX,OKC,0,0,-4.0
NYK,PHI,0,1,-4.0
ATL,NYK,0,0,-5.0
MIA,MEM,0,0,-5.0
LAL,MEM,0,0,-5.0
PHX,NOH,0,0,-5.0
HOU,PHI,0,0,-6.0
NYK,UTA,0,0,-6.0
PHX,SAC,0,1,-7.0
ATL,ORL,0,0,-7.0
HOU,DEN,0,0,-7.0
MIA,ATL,0,0,-7.0
UTA,WAS,0,0,-7.0
NYK,ORL,0,0,-8.0
TOR,NYK,0,1,-8.0
NYK,MIA,0,0,-11.0
PHI,LAL,0,1,-14.0
DEN,SAC,0,1,-14.0
DEN,DET,0,0,-17.0
ORL,MIA,0,1,-28.0
DEN,POR,1,1,32.0
PHI,CHA,1,1,30.0
MEM,IND,1,1,30.0
POR,PHX,1,1,29.0
BOS,POR,1,0,28.0
MIA,MEM,1,0,26.0
MIN,SAS,1,1,25.0
GSW,OKC,1,1,21.0
LAC,SAC,1,1,19.0
LAC,NOP,1,1,19.0
ATL,HOU,1,0,16.0
LAC,MIN,1,0,11.0
GSW,MIN,1,1,9.0
POR,CHA,1,1,9.0
MIL,SAC,1,1,6.0
DET,IND,1,0,4.0
MIA,MIL,0,0,-1.0
CHA,MIL,0,0,-2.0
BOS,NYK,0,0,-4.0
HOU,UTA,0,1,-5.0
BOS,MIL,0,0,-6.0
IND,OKC,1,0,57.0
BOS,ORL,1,0,36.0
BOS,CHA,1,1,30.0
MIL,POR,1,1,28.0
LAC,CHA,1,0,23.0
CHA,BOS,1,1,21.0
UTA,SAS,1,0,21.0
MIL,IND,1,1,20.0
LAC,MIN,1,1,19.0
UTA,NOP,1,1,16.0
BKN,CHA,1,1,15.0
CHA,MIL,1,1,12.0
POR,WAS,1,0,11.0
CHA,TOR,1,1,10.0
OKC,MIN,1,0,9.0
CHA,MIA,1,0,8.0
ORL,BKN,1,1,8.0
PHX,TOR,1,1,8.0
UTA,DEN,1,1,7.0
NOP,MIL,1,1,5.0
TOR,CHA,1,1,3.0
ATL,ORL,1,0,3.0
DAL,GSW,1,1,2.0
CHI,POR,0,1,-1.0
CHI,OKC,0,0,-2.0
TOR,UTA,0,1,-3.0
TOR,BOS,0,0,-7.0
UTA,PHI,0,0,-8.0
IND,MIL,0,1,-9.0
POR,MIL,0,1,-18.0
DET,CLE,1,0,36.0
UTA,SAS,1,1,34.0
DEN,CHI,1,1,30.0
HOU,CLE,1,1,28.0
HOU,SAC,1,0,26.0
TOR,NYK,1,0,25.0
UTA,NYK,1,0,21.0
HOU,SAC,1,1,20.0
DET,ATL,1,0,15.0
HOU,IND,1,1,12.0
ATL,WAS,1,0,8.0
OKC,TOR,1,0,7.0
GSW,CLE,1,1,6.0
DET,MIN,1,0,6.0
NYK,MIL,1,1,2.0
BKN,TOR,0,0,-2.0
CHA,NYK,0,1,-2.0
ATL,DET,0,1,-3.0
MIN,LAL,0,0,-4.0
SAC,GSW,0,1,-4.0
ORL,DEN,0,1,-6.0
BKN,GSW,0,1,-6.0
SAS,CHI,1,1,39.0
TOR,CLE,1,1,34.0
HOU,CHI,1,1,32.0
DEN,NOP,1,1,32.0
HOU,DEN,1,1,30.0
CHA,IND,1,0,26.0
WAS,ATL,1,0,25.0
NYK,MIA,1,1,24.0
HOU,NOP,1,1,23.0
HOU,MEM,1,0,22.0
ORL,LAL,1,1,22.0
HOU,IND,1,1,21.0
TOR,CHA,1,0,20.0
CHI,WAS,1,1,19.0
